http,114.37.206.199:80
http,139.162.8.86:80
http,140.82.1.202:80
http,185.11.89.124:80
http,209.146.105.242:80
http,76.164.52.98:80
http,104.148.36.10:80
http,114.37.203.86:80
http,110.164.3.7:8888
http,209.201.29.20:80
https,157.100.12.138:999
http,114.37.147.48:80
http,42.3.182.146:80
http,139.162.8.96:80
https,134.238.252.143:8080
https,60.51.17.107:80
http,117.159.37.40:9091
http,118.107.44.181:8000
https,140.227.80.237:3180
http,80.249.112.162:80
http,51.178.56.44:3128
https,140.227.59.167:3180
http,165.154.236.248:80
http,154.26.134.214:80
http,36.32.21.45:8085
https,140.227.69.124:3180
http,112.6.117.178:8085
https,45.167.126.78:3128
http,51.91.157.66:80
http,111.21.183.58:9091
http,103.111.120.138:80
http,117.251.103.186:8080
http,118.140.160.85:80
http,118.140.160.84:80
http,221.231.13.198:1080
http,37.236.59.107:8080
http,125.66.100.112:9091
http,103.49.202.252:80
http,113.73.189.192:8085
http,37.236.59.107:80
http,103.117.192.14:80
http,103.117.192.174:80
http,183.237.47.54:9091
http,103.83.232.122:80
http,183.233.169.226:9091
http,120.197.219.82:9091
http,139.99.237.62:80
http,209.182.239.62:80
https,92.205.22.114:38080
http,203.89.126.250:80
http,112.5.56.2:9091
http,198.49.68.80:80
http,173.167.64.58:80
http,198.59.191.234:8080
http,112.49.34.128:9091
http,165.154.243.247:80
http,118.212.152.82:9091
https,140.227.25.191:23456
http,221.6.215.202:9091
http,117.160.250.134:82
http,103.172.116.231:80
http,58.246.58.150:9002
http,14.205.213.11:8085
http,209.146.105.243:80
http,119.7.135.19:9091
http,123.130.115.217:9091
http,120.26.123.95:8010
http,51.195.251.79:80
http,139.162.8.32:80
http,110.185.164.20:9091
http,113.57.84.39:9091
http,223.96.90.216:8085
http,185.235.16.12:80
http,58.20.184.187:9091
http,120.196.186.248:9091
http,120.196.188.21:9091
http,58.27.59.249:80
http,103.148.178.228:80
http,218.7.171.91:3128
http,172.104.80.181:80
http,45.124.12.10:80
http,117.160.250.132:8081
http,117.160.250.132:8080
http,103.145.76.44:80
http,117.160.250.132:81
http,223.108.49.50:3128
http,118.107.44.181:80
http,120.236.41.185:9091
http,122.228.136.27:9091
http,124.13.181.4:80
http,117.160.250.134:8081
http,117.160.250.133:8080
http,117.160.250.134:8080
http,183.220.6.198:9091
http,117.160.250.133:8081
http,8.210.222.138:80
http,223.84.240.36:9091
http,171.34.53.2:9091
http,117.160.250.133:81
http,124.13.181.6:80
